"kri","ggi_indicator","nom","business_label","sub_business_label","comment","snapshot_date","pending_date","traitement","exposure_days"
"E-learning non fini","12346","Alice Dupont #1","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","67892","Bob Martin #2","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11227","Charlie Durand #4","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12352","Alice Dupont #7","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","67898","Bob Martin #8","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11233","Charlie Durand #10","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12358","Alice Dupont #13","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","67904","Bob Martin #14","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11239","Charlie Durand #16","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12364","Alice Dupont #19","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","67910","Bob Martin #20","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11245","Charlie Durand #22","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12370","Alice Dupont #25","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","67916","Bob Martin #26","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11251","Charlie Durand #28","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12376","Alice Dupont #31","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","67922","Bob Martin #32","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11257","Charlie Durand #34","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12382","Alice Dupont #37","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","67928","Bob Martin #38","","","E-learning non fini","2023-10-13","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-19","2023-10-11","yes","1.0"
"E-learning non fini","11263","Charlie Durand #40","","","E-learning non fini","2023-10-12","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-23","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-24","2023-10-13","yes","1.0"
"E-learning non fini","12388","Alice Dupont #43","","","E-learning non fini","2023-10-14","","no","14.0"
"E-learning non fini","67934","Bob Martin #44","","","E-learning non fini","2023-10-19","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-25","2023-10-11","yes","1.0"
"E-learning non fini","11269","Charlie Durand #46","","","E-learning non fini","2023-10-18","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-29","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-30","2023-10-13","yes","1.0"
"E-learning non fini","12394","Alice Dupont #49","","","E-learning non fini","2023-10-20","","no","14.0"
"E-learning non fini","67940","Bob Martin #50","","","E-learning non fini","2023-10-25","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-31","2023-10-11","yes","1.0"
"E-learning non fini","11275","Charlie Durand #52","","","E-learning non fini","2023-10-24","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-04","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-11-05","2023-10-13","yes","1.0"
"E-learning non fini","12400","Alice Dupont #55","","","E-learning non fini","2023-10-26","","no","14.0"
"E-learning non fini","67946","Bob Martin #56","","","E-learning non fini","2023-10-31","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-11-06","2023-10-11","yes","1.0"
"E-learning non fini","11281","Charlie Durand #58","","","E-learning non fini","2023-10-30","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-11-10","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-12","2023-10-13","yes","1.0"
"E-learning non fini","12406","Alice Dupont #61","","","E-learning non fini","2023-10-02","","no","14.0"
"E-learning non fini","67952","Bob Martin #62","","","E-learning non fini","2023-10-07","","no","10.0"
"Faille Système","0","","Asia","IT Ops","Panne serveur","2023-10-13","2023-10-11","yes","1.0"
"E-learning non fini","11287","Charlie Durand #64","","","E-learning non fini","2023-10-06","","no","13.0"
"Erreur Transaction","0","","ASIA","Trading","Erreur de saisie","2023-10-17","","no","3.0"
"Erreur Transaction","0","","Europe","Retail","Doublon","2023-10-18","2023-10-13","yes","1.0"
"E-learning non fini","12412","Alice Dupont #67","","","E-learning non fini","2023-10-08","","no","14.0"
"E-learning non fini","67958","Bob Martin #68","","","E-learning non fini","2023-10-13","","no","10.0"
